condition_key,drug,rank,rank_by_rating,score,shrunk_rating,mean_rating,n_reviews,positive_rate,mean_useful
basal cell carcinoma,Aldara,3,3,41.9943,6.9526,6.9091,11,0.6364,40.5455
basal cell carcinoma,Efudex,4,4,22.9947,6.877,6.6,5,0.6,47.4
benign essential trem,Propranolol,1,1,115.948,7.4296,7.5641,39,0.7436,45.7949
benign essential trem,Primidone,2,4,95.6008,5.7946,5.4524,42,0.4048,40.0952
benign essential trem,Inderal,3,2,45.9135,7.1212,7.25,12,0.75,64.75
benign essential trem,Gabapentin,4,3,36.1032,6.9481,6.8889,9,0.5556,32.4444
benign prostatic hyperplasia,Tamsulosin,1,15,227.623,5.7156,5.6029,136,0.4044,55.5956
benign prostatic hyperplasia,Silodosin,2,13,178.135,6.1476,6.0337,89,0.5281,38.7753
benign prostatic hyperplasia,Rapaflo,3,11,165.6179,6.3101,6.2051,78,0.5385,44.0
benign prostatic hyperplasia,Tadalafil,4,1,150.9538,7.7955,7.9808,52,0.8077,71.3846
benign prostatic hyperplasia,Flomax,5,17,150.651,5.5797,5.3704,81,0.358,82.7531
benign prostatic hyperplasia,Cialis,6,2,137.1862,7.6425,7.8085,47,0.7872,78.4681
benign prostatic hyperplasia,Alfuzosin,7,14,105.1331,6.051,5.8,45,0.4667,37.4889
benign prostatic hyperplasia,Dutasteride,8,4,84.8132,7.366,7.5385,26,0.6923,76.6538
benign prostatic hyperplasia,Avodart,9,5,79.1884,7.303,7.4583,24,0.6667,82.4167
benign prostatic hyperplasia,Terazosin,10,6,67.9483,7.1847,7.3,20,0.7,30.2
benign prostatic hyperplasia,Doxazosin,11,3,64.641,7.397,7.6667,18,0.7778,41.4444
benign prostatic hyperplasia,Finasteride,12,16,63.1264,5.6462,5.0,25,0.4,60.2
benign prostatic hyperplasia,Dutasteride / tamsulosin,13,9,56.4848,6.4636,6.1111,18,0.5,41.0556
benign prostatic hyperplasia,Uroxatral,14,12,55.0283,6.297,5.8333,18,0.3889,63.6667
benign prostatic hyperplasia,Jalyn,15,10,53.671,6.4107,6.0,17,0.4706,43.4706
binge eating disorde,Lisdexamfetamine,1,1,139.937,7.5559,7.6939,49,0.7551,33.1429
binge eating disorde,Vyvanse,2,2,139.937,7.5559,7.6939,49,0.7551,33.1429
bipolar disorde,Lamotrigine,1,3,934.0064,8.2351,8.2623,549,0.8342,42.4299
bipolar disorde,Lamictal,2,5,716.627,8.1973,8.2345,388,0.8299,53.9381
bipolar disorde,Quetiapine,3,31,631.6037,7.115,7.1187,396,0.6894,26.5379
bipolar disorde,Lurasidone,4,45,583.1632,6.8297,6.8245,376,0.6569,43.3537
bipolar disorde,Latuda,5,43,553.7919,6.8585,6.8539,349,0.6619,46.6877
bipolar disorde,Seroquel,6,39,430.4458,6.9723,6.9713,244,0.6721,34.1598
bipolar disorde,Lithium,7,15,388.9799,7.571,7.6073,191,0.7644,36.2932
bipolar disorde,Asenapine,8,27,352.0176,7.1932,7.2067,179,0.7151,28.0726
bipolar disorde,Saphris,9,21,341.4014,7.3162,7.3393,168,0.7321,29.8333
bipolar disorde,Aripiprazole,10,59,339.027,5.935,5.8773,220,0.5364,23.25
bipolar disorde,Abilify,11,60,313.6088,5.919,5.8543,199,0.5327,25.4925
bipolar disorde,Divalproex sodium,12,56,292.5213,6.442,6.4012,162,0.6111,36.1728
bipolar disorde,Olanzapine,13,51,262.6043,6.594,6.5588,136,0.5882,28.8456
bipolar disorde,Ziprasidone,14,61,260.1319,5.7023,5.6074,163,0.5092,23.2699
bipolar disorde,Oxcarbazepine,15,8,253.2389,8.0081,8.13,100,0.81,42.59
birth control,Etonogestrel,1,91,3147.9812,5.8329,5.8298,4394,0.4802,6.7893
birth control,Levonorgestrel,2,9,2770.0357,7.0386,7.0388,2884,0.6505,8.3523
birth control,Ethinyl estradiol / norethindrone,3,108,2337.3713,5.6521,5.6469,3081,0.4797,7.8848
birth control,Nexplanon,4,107,2225.0216,5.6552,5.6497,2883,0.4565,6.0166
birth control,Ethinyl estradiol / levonorgestrel,5,86,1826.7494,5.874,5.8676,2107,0.485,7.2886
birth control,Ethinyl estradiol / norgestimate,6,84,1822.9965,5.8828,5.8765,2097,0.5055,8.4721
birth control,Mirena,7,13,1529.1554,6.9827,6.9826,1320,0.6462,13.9985
birth control,Implanon,8,57,1486.97,6.1816,6.1751,1496,0.5254,8.3463
birth control,Skyla,9,6,1358.507,7.2412,7.2439,1074,0.6797,3.7989
birth control,Copper,10,8,1068.8837,7.1058,7.1075,800,0.68,7.5988
birth control,Ethinyl estradiol / etonogestrel,11,26,1026.5575,6.6566,6.6518,827,0.5804,8.7449
birth control,NuvaRing,12,27,1022.1021,6.6458,6.6408,824,0.5789,8.7755
birth control,Lo Loestrin Fe,13,61,1001.3537,6.1144,6.1027,896,0.5513,9.683
birth control,Drospirenone / ethinyl estradiol,14,82,792.4093,5.9181,5.8993,685,0.4934,8.3299
birth control,Desogestrel / ethinyl estradiol,15,99,742.6596,5.736,5.713,655,0.4534,5.8244
bladder infection,Nitrofurantoin,1,12,257.3651,4.9703,4.8446,193,0.3731,23.6684
bladder infection,Macrobid,2,11,171.3921,5.1159,4.9074,108,0.3611,34.6204
bladder infection,Ciprofloxacin,3,8,148.8565,5.7831,5.5921,76,0.5,34.4474
bladder infection,Cephalexin,4,1,112.6487,7.6648,7.8889,36,0.7778,46.0556
bladder infection,Cipro,5,9,64.6372,5.7813,5.2,25,0.48,54.64
bladder infection,Methenamine,6,4,37.0929,7.1385,7.3333,9,0.7778,50.1111
bladder infection,Fosfomycin,7,5,36.3506,6.9957,7.0,9,0.6667,23.1111
bladder infection,Hiprex,8,2,35.4168,7.4455,8.125,8,0.875,56.125
bladder infection,Levofloxacin,9,10,31.6724,5.6322,4.0,10,0.4,14.2
bladder infection,Keflex,10,3,31.2366,7.2584,7.7143,7,0.7143,64.8571
bladder infection,Monurol,11,6,26.8163,6.995,7.0,6,0.6667,28.8333
bladder infection,Levaquin,12,7,26.7065,6.2057,4.8571,7,0.5714,19.2857
bone infection,Clindamycin,1,1,42.1524,7.4959,8.1,10,0.8,20.3
borderline personality disorde,Quetiapine,1,4,163.2966,7.3907,7.4677,62,0.7903,24.5
borderline personality disorde,Lamotrigine,2,1,82.4336,8.115,8.7273,22,0.8636,15.2273
borderline personality disorde,Olanzapine,3,6,60.311,7.2038,7.3529,17,0.7059,14.7059
borderline personality disorde,Seroquel,4,5,49.5425,7.2364,7.4615,13,0.7692,43.1538
borderline personality disorde,Aripiprazole,5,7,43.0447,7.1265,7.2727,11,0.6364,12.7273
borderline personality disorde,Risperidone,6,10,36.529,6.4959,5.9,10,0.6,17.9
borderline personality disorde,Lurasidone,7,3,31.9161,7.4163,8.1429,7,1.0,23.7143
borderline personality disorde,Risperdal,8,2,24.9616,7.4652,8.6,5,1.0,28.4
borderline personality disorde,Sertraline,9,8,22.6013,6.7594,6.2,5,0.6,2.4
borderline personality disorde,Topiramate,10,9,22.6013,6.7594,6.2,5,0.6,4.0
bowel preparation,Magnesium sulfate / potassium sulfate / sodium sulfate,1,3,1138.7954,7.4249,7.4312,821,0.7247,15.3033
bowel preparation,Suprep Bowel Prep Kit,2,2,1131.7303,7.4816,7.4888,806,0.7333,15.531
bowel preparation,Polyethylene glycol 3350 with electrolytes,3,5,465.869,6.9365,6.9341,273,0.6447,15.348
bowel preparation,MoviPrep,4,4,365.9485,7.1227,7.1309,191,0.6649,17.1152
bowel preparation,Citric acid / magnesium oxide / sodium picosulfate,5,10,213.7776,6.2513,6.1712,111,0.5766,7.991
bowel preparation,Prepopik,6,11,213.7776,6.2513,6.1712,111,0.5766,7.991
bowel preparation,Bisacodyl,7,12,112.4873,5.9824,5.74,50,0.5,12.74
bowel preparation,Dulcolax,8,14,78.5578,5.8388,5.4062,32,0.4375,17.0312
bowel preparation,GoLYTELY,9,7,72.7958,6.5111,6.28,25,0.6,20.12
bowel preparation,GaviLyte-G,10,1,46.7213,7.7352,8.5455,11,0.9091,12.9091
bowel preparation,Polyethylene glycol 3350,11,13,30.907,5.9481,4.5556,9,0.3333,21.6667
bowel preparation,Sodium biphosphate / sodium phosphate,12,8,30.6599,6.4455,5.625,8,0.5,18.125
bowel preparation,GaviLyte-N,13,9,24.4735,6.3838,5.1667,6,0.3333,5.8333
bowel preparation,MiraLax,14,15,24.4415,5.6794,3.4286,7,0.1429,26.2857
bowel preparation,OsmoPrep,15,6,22.6013,6.7594,6.2,5,0.6,25.6
breakthrough pain,Fentanyl,1,1,92.7392,8.2948,8.92,25,0.88,31.88
breakthrough pain,Actiq,2,3,36.8438,7.7455,8.875,8,0.875,38.625
breakthrough pain,Subsys,3,4,29.372,7.6616,9.0,6,0.8333,21.1667
breakthrough pain,Fentora,4,2,25.945,7.7594,9.6,5,1.0,39.8
breast cance,Anastrozole,1,10,178.8696,5.4145,5.2358,106,0.2925,67.8208
breast cance,Letrozole,2,4,140.4046,6.2788,6.1429,63,0.5714,82.0
breast cance,Arimidex,3,5,105.527,6.1769,5.9545,44,0.4773,102.2273
breast cance,Tamoxifen,4,7,89.0724,6.0606,5.75,36,0.5278,58.9722
breast cance,Exemestane,5,11,81.0635,5.1943,4.641,39,0.3077,46.641
breast cance,Femara,6,1,74.0045,6.6192,6.44,25,0.68,136.6
breast cance,Aromasin,7,6,42.1485,6.1564,5.3846,13,0.4615,71.4615
breast cance,Afinitor,8,2,30.1843,6.3455,5.375,8,0.5,19.875
breast cance,Everolimus,9,3,30.1843,6.3455,5.375,8,0.5,19.875
breast cance,Docetaxel,10,8,19.8477,5.9358,3.4,5,0.2,13.4
breast cance,Taxotere,11,9,19.8477,5.9358,3.4,5,0.2,13.4
breast cancer adjuvant,Letrozole,1,2,38.5803,6.3874,5.7273,11,0.4545,70.5455
breast cancer adjuvant,Femara,2,1,30.104,6.9952,7.0,7,0.5714,91.7143
breast cancer metastatic,Ibrance,1,7,61.6219,6.7713,6.6316,19,0.6842,32.9474
breast cancer metastatic,Palbociclib,2,8,61.6219,6.7713,6.6316,19,0.6842,32.9474
breast cancer metastatic,Letrozole,3,3,48.4471,7.0764,7.1538,13,0.6154,80.3846
breast cancer metastatic,Eribulin,4,1,38.033,7.9955,9.5,8,1.0,52.75
breast cancer metastatic,Capecitabine,5,9,34.866,6.71,6.3333,9,0.5556,20.6667
breast cancer metastatic,Halaven,6,2,33.9546,7.89,9.4286,7,1.0,58.0
breast cancer metastatic,Femara,7,4,33.2762,6.9955,7.0,8,0.625,114.625
breast cancer metastatic,Xeloda,8,11,27.839,6.4689,5.5714,7,0.4286,26.0
breast cancer metastatic,Fulvestrant,9,10,25.1124,6.5505,5.6667,6,0.5,37.5
breast cancer metastatic,Anastrozole,10,5,23.1914,6.9358,6.8,5,0.6,29.2
breast cancer metastatic,Faslodex,11,6,22.798,6.8182,6.4,5,0.6,44.4
bronchitis,Azithromycin,1,12,251.5791,6.5346,6.4923,130,0.6077,24.9
bronchitis,Levofloxacin,2,19,145.4213,5.5945,5.3766,77,0.4675,25.1299
bronchitis,Clarithromycin,3,21,144.1134,5.4386,5.2025,79,0.4177,21.9241
bronchitis,Levaquin,4,20,111.0432,5.5744,5.2593,54,0.463,30.0926
bronchitis,Guaifenesin,5,1,99.3509,7.3843,7.5312,32,0.7188,61.8125
bronchitis,Zithromax,6,7,92.3179,6.8616,6.8125,32,0.6562,41.5625
bronchitis,Amoxicillin / clavulanate,7,4,90.0078,7.0216,7.0333,30,0.6667,25.1667
bronchitis,Avelox,8,9,80.6131,6.6227,6.4643,28,0.5714,16.8214
bronchitis,Moxifloxacin,9,10,80.6131,6.6227,6.4643,28,0.5714,16.8214
bronchitis,Augmentin,10,2,67.0617,7.0909,7.15,20,0.7,32.4
bronchitis,Mucinex,11,3,67.0617,7.0909,7.15,20,0.7,86.4
bronchitis,Doxycycline,12,18,61.1164,5.6364,4.9583,24,0.3333,19.375
bronchitis,Cefdinir,13,22,58.5938,5.2408,4.4,25,0.32,9.08
bronchitis,Biaxin,14,17,53.7622,5.6847,4.9,20,0.45,29.15
bronchitis,Amoxicillin,15,11,42.4211,6.5795,6.1667,12,0.5,9.5833
bulimia,Fluoxetine,1,1,110.7318,8.0424,8.4242,33,0.8788,41.0606
bulimia,Prozac,2,2,74.8849,7.6336,8.0,21,0.8095,55.6667
bulimia,Topiramate,3,3,39.5963,7.0413,7.1,10,0.7,15.9
bulimia,Topamax,4,4,29.8775,6.9426,6.8571,7,0.7143,20.1429
burns external,Silver sulfadiazine,1,1,163.2043,9.2398,9.8261,46,0.9783,16.6304
burns external,Silvadene,2,2,26.3384,7.877,10.0,5,1.0,35.6
cervical dystonia,Botox,1,1,84.8132,7.366,7.5385,26,0.7692,26.6923
cervical dystonia,OnabotulinumtoxinA,2,2,84.8132,7.366,7.5385,26,0.7692,26.6923
cervical dystonia,Baclofen,3,3,29.9464,6.2955,5.25,8,0.625,18.875
chlamydia infection,Azithromycin,1,1,583.103,7.6003,7.6227,326,0.7515,7.1687
chlamydia infection,Doxycycline,2,2,98.1278,7.2934,7.4062,32,0.6875,13.25
chlamydia infection,Zithromax,3,3,40.1075,7.1322,7.3,10,0.7,15.9
chronic fatigue syndrome,Armodafinil,1,2,100.2682,7.4525,7.625,32,0.8125,45.9688
chronic fatigue syndrome,Nuvigil,2,3,88.0481,7.4336,7.6296,27,0.8148,51.7407
chronic fatigue syndrome,Modafinil,3,5,85.1776,6.9977,7.0,28,0.6429,35.6786
chronic fatigue syndrome,Lisdexamfetamine,4,1,34.4076,7.9952,9.7143,7,1.0,37.8571
chronic fatigue syndrome,Provigil,5,4,27.2422,7.1061,7.3333,6,0.8333,59.1667
chronic fatigue syndrome,Cymbalta,6,6,21.2245,6.3476,4.8,5,0.4,17.0
chronic fatigue syndrome,Duloxetine,7,7,21.2245,6.3476,4.8,5,0.4,17.0
chronic idiopathic constipation,Plecanatide,1,1,120.4226,7.4322,7.561,41,0.7317,23.2439
chronic idiopathic constipation,Trulance,2,2,120.4226,7.4322,7.561,41,0.7317,23.2439
chronic lymphocytic leukemia,Ibrutinib,1,2,45.7086,6.6764,6.3846,13,0.6154,13.1538
chronic lymphocytic leukemia,Imbruvica,2,3,35.7621,6.3595,5.6,10,0.5,13.3
chronic lymphocytic leukemia,Rituximab,3,1,25.7483,7.7005,9.4,5,1.0,29.4
chronic myelogenous leukemia,Imatinib,1,1,87.5942,8.3403,9.0435,23,0.913,25.3043
chronic myelogenous leukemia,Gleevec,2,2,77.7013,8.2159,8.95,20,0.9,27.95
chronic myelogenous leukemia,Nilotinib,3,5,77.3545,7.615,7.9545,22,0.7273,16.4545
chronic myelogenous leukemia,Tasigna,4,6,58.8312,7.3539,7.625,16,0.625,20.875
chronic myelogenous leukemia,Dasatinib,5,3,53.9242,7.8764,8.6923,13,1.0,12.0
chronic myelogenous leukemia,Sprycel,6,4,43.686,7.7686,8.7,10,1.0,15.0
chronic pain,Oxycodone,1,10,490.0868,7.914,7.9592,245,0.8204,38.8449
chronic pain,Acetaminophen / oxycodone,2,11,321.8282,7.9073,7.9857,140,0.8214,34.55
chronic pain,Fentanyl,3,8,295.1753,7.9919,8.0894,123,0.8618,29.0081
chronic pain,Methadone,4,1,291.7193,8.7076,8.8981,108,0.9074,58.1389
chronic pain,Buprenorphine,5,30,280.6459,5.961,5.8882,170,0.5412,28.7353
chronic pain,Morphine,6,19,274.2824,7.5181,7.5702,121,0.7273,30.0909
chronic pain,Tramadol,7,29,238.2016,6.0821,6.0,133,0.5489,26.797
chronic pain,Hydromorphone,8,4,236.7861,8.3122,8.4943,87,0.8851,44.8276
chronic pain,Duloxetine,9,27,193.357,6.3543,6.2737,95,0.6526,51.6842
chronic pain,OxyContin,10,9,185.5412,7.9229,8.0896,67,0.8358,63.0746
chronic pain,Cymbalta,11,26,182.0968,6.4481,6.3721,86,0.6628,56.814
chronic pain,Butrans,12,24,181.1936,6.5303,6.4643,84,0.6071,36.9762
chronic pain,Dilaudid,13,2,154.371,8.4652,8.8333,48,0.9167,57.0417
chronic pain,Fentanyl Transdermal System,14,17,128.2018,7.6347,7.814,43,0.8605,41.5116
chronic pain,MS Contin,15,16,116.9036,7.6382,7.8421,38,0.7368,50.1842
clostridial infection,Metronidazole,1,5,61.8184,6.0856,5.5909,22,0.4545,10.1818
clostridial infection,Fidaxomicin,2,1,27.2422,7.1061,7.3333,6,0.6667,13.0
clostridial infection,Dificid,3,2,23.1914,6.9358,6.8,5,0.6,15.6
clostridial infection,Flagyl,4,3,23.1914,6.9358,6.8,5,0.6,14.8
clostridial infection,Vancomycin,5,4,22.4046,6.7005,6.0,5,0.6,24.0
cluster headaches,Sumatriptan,1,2,175.3147,8.3416,8.6207,58,0.8793,8.3621
cluster headaches,Verapamil,2,1,155.7451,8.6764,9.1064,47,0.8723,21.5532
cluster headaches,Imitrex,3,3,75.3369,7.9659,8.55,20,0.9,14.95
cluster headaches,Tizanidine,4,11,55.4026,6.9253,6.875,16,0.625,36.5625
cluster headaches,Prednisone,5,4,37.5573,7.8955,9.25,8,1.0,11.625
cluster headaches,Indomethacin,6,5,36.3681,7.6455,8.625,8,1.0,6.125
cluster headaches,Lithium,7,7,32.5956,7.5742,8.5714,7,0.8571,21.8571
cluster headaches,Dihydroergotamine,8,6,25.5516,7.6417,9.2,5,1.0,5.6
cluster headaches,Cafergot,9,8,25.1582,7.5241,8.8,5,1.0,5.2
cluster headaches,Caffeine / ergotamine,10,9,25.1582,7.5241,8.8,5,1.0,5.2
cluster headaches,Zanaflex,11,10,23.9781,7.1711,7.6,5,0.8,54.2
cold sores,Valacyclovir,1,1,442.1563,9.0732,9.2135,178,0.927,18.1685
cold sores,Valtrex,2,2,336.0473,9.0434,9.2419,124,0.9274,23.8871
cold sores,Penciclovir,3,3,125.8147,8.5606,9.0833,36,0.9167,7.5833
cold sores,Acyclovir,4,5,118.1601,8.0398,8.3889,36,0.8611,9.1667
cold sores,Denavir,5,4,116.5452,8.4646,9.0,33,0.9091,8.0909
cold sores,Famciclovir,6,6,94.7297,7.9977,8.4444,27,0.8148,16.5185
cold sores,Zovirax Cream,7,9,48.9948,7.1564,7.3077,13,0.6923,9.7692
cold sores,Sitavig,8,7,32.5956,7.5742,8.5714,7,1.0,8.4286
cold sores,Famvir,9,8,32.3691,7.5215,8.4286,7,0.7143,28.1429
cold symptoms,Chlorpheniramine / hydrocodone,1,6,52.0072,7.5964,8.1538,13,0.6923,7.3077
cold symptoms,Tussionex Pennkinetic,2,7,44.883,7.4308,7.9091,11,0.6364,8.2727
cold symptoms,Dexbrompheniramine / pseudoephedrine,3,1,43.0314,8.2814,10.0,9,1.0,6.7778
cold symptoms,Echinacea,4,5,41.0519,7.9004,9.1111,9,0.8889,9.0
cold symptoms,Ephedrine / guaifenesin,5,3,37.7952,7.9455,9.375,8,1.0,6.625
cold symptoms,Drixoral Cold and Allergy,6,2,34.8606,8.1005,10.0,7,1.0,8.2857
cold symptoms,Pseudoephedrine / triprolidine,7,8,31.9161,7.4163,8.1429,7,0.8571,4.5714
cold symptoms,Chlorpheniramine / phenylephrine,8,4,30.4369,7.9394,9.8333,6,1.0,3.5
cold symptoms,Actifed,9,9,28.3071,7.3838,8.1667,6,0.8333,5.3333
cold symptoms,Acetaminophen / chlorpheniramine / phenylephrine,10,14,27.6125,6.4163,5.4286,7,0.4286,2.7143
cold symptoms,Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,11,10,24.5682,7.3476,8.2,5,0.8,3.0
cold symptoms,Vicks Nyquil D Cold and Flu Nighttime Relief,12,11,24.5682,7.3476,8.2,5,0.8,3.0
cold symptoms,Acetaminophen / chlorpheniramine,13,12,23.9781,7.1711,7.6,5,0.8,15.8
cold symptoms,Coricidin HBP Cold & Flu,14,13,23.9781,7.1711,7.6,5,0.8,15.8
colorectal cance,Capecitabine,1,1,43.4304,7.7231,8.6,10,0.8,39.0
colorectal cance,Xeloda,2,2,29.1591,7.6061,8.8333,6,0.8333,57.1667
condylomata acuminata,Podofilox,1,1,77.0557,7.5856,7.9091,22,0.7727,11.1818
condylomata acuminata,Condylox,2,2,27.2422,7.1061,7.3333,6,0.6667,18.3333
condylomata acuminata,Imiquimod,3,3,22.9947,6.877,6.6,5,0.6,11.4
conjunctivitis allergic,Bepotastine,1,2,54.7398,7.1818,7.3333,15,0.6667,4.4667
conjunctivitis allergic,Alcaftadine,2,4,54.1544,6.197,5.6667,18,0.5556,17.5556
conjunctivitis allergic,Lastacaft,3,5,54.1544,6.197,5.6667,18,0.5556,17.5556
conjunctivitis allergic,Bepreve,4,3,51.1948,7.0734,7.1429,14,0.6429,4.7857
conjunctivitis allergic,Ketotifen,5,1,38.2709,8.0455,9.625,8,1.0,15.125
conjunctivitis bacterial,Moxifloxacin,1,4,45.3762,7.0379,7.0833,12,0.6667,10.0
conjunctivitis bacterial,Vigamox,2,5,35.8557,6.9004,6.7778,9,0.6667,10.7778
conjunctivitis bacterial,Tobramycin,3,1,25.7483,7.7005,9.4,5,1.0,11.6
conjunctivitis bacterial,Polymyxin b / trimethoprim,4,6,24.4735,6.3838,5.1667,6,0.5,19.5
conjunctivitis bacterial,Dexamethasone / tobramycin,5,2,23.5847,7.0535,7.2,5,0.8,20.6
conjunctivitis bacterial,TobraDex,6,3,23.5847,7.0535,7.2,5,0.8,20.6
constipation,Bisacodyl,1,20,734.0042,5.715,5.6914,648,0.4784,9.6667
constipation,Dulcolax,2,21,571.6442,5.6541,5.62,471,0.4628,11.5138
constipation,Magnesium citrate,3,1,490.4996,8.8915,9.0,210,0.9143,33.2952
constipation,Polyethylene glycol 3350,4,4,320.4591,8.5211,8.6667,126,0.8651,53.3413
constipation,Magnesium hydroxide,5,6,285.0189,8.5076,8.6759,108,0.8796,27.2593
constipation,MiraLax,6,3,257.8088,8.6087,8.8172,93,0.8817,69.0323
constipation,Phillips' Milk of Magnesia,7,7,256.4908,8.4291,8.6105,95,0.8737,29.1263
constipation,Linaclotide,8,13,133.5612,7.2116,7.2653,49,0.6939,32.6531
constipation,Linzess,9,14,133.5612,7.2116,7.2653,49,0.6939,32.6531
constipation,Senna,10,17,125.2076,6.1163,5.9286,56,0.5,14.4107
constipation,Sodium biphosphate / sodium phosphate,11,2,102.9299,8.69,9.4444,27,0.963,12.963
constipation,Fleet Enema,12,5,83.5058,8.5124,9.381,21,0.9524,14.2381
constipation,Dulcolax Laxative,13,15,78.7532,6.8397,6.7692,26,0.6154,5.3077
constipation,Senokot,14,18,65.9356,6.0808,5.625,24,0.4583,22.7917
constipation,Correctol,15,19,59.4269,6.0579,5.5238,21,0.4286,12.7619
constipation acute,Lactulose,1,4,53.7002,7.4196,7.7857,14,0.7857,29.0714
constipation acute,Docusate / senna,2,3,46.4587,7.6917,8.4545,11,0.8182,18.0
constipation acute,Polyethylene glycol 3350,3,1,44.4529,7.905,9.0,10,0.9,53.1
constipation acute,MiraLax,4,2,40.8044,7.8528,9.0,9,0.8889,58.3333
constipation chronic,Linaclotide,1,5,454.9069,7.346,7.3633,245,0.6898,43.4
constipation chronic,Linzess,2,6,445.1991,7.3012,7.3167,240,0.6833,44.2958
constipation chronic,Lubiprostone,3,8,224.1899,6.7387,6.7103,107,0.6262,36.5234
constipation chronic,Amitiza,4,7,219.5196,6.7406,6.7115,104,0.625,37.5481
constipation chronic,Lactulose,5,1,87.5942,8.3403,9.0435,23,0.9565,44.913
constipation chronic,Polyethylene glycol 3350 with electrolytes,6,4,49.0848,8.1265,9.3636,11,1.0,13.9091
constipation chronic,Tegaserod,7,2,46.7534,8.3141,9.9,10,1.0,13.6
constipation chronic,Zelnorm,8,3,46.7534,8.3141,9.9,10,1.0,13.6
constipation drug induced,Naloxegol,1,5,164.8448,4.8204,4.5856,111,0.3604,24.7117
constipation drug induced,Movantik,2,6,162.2877,4.7779,4.5364,110,0.3545,24.9364
constipation drug induced,Methylnaltrexone,3,1,87.6121,7.1977,7.2857,28,0.6786,26.2143
constipation drug induced,Relistor,4,2,87.6121,7.1977,7.2857,28,0.6786,26.2143
constipation drug induced,Amitiza,5,3,44.7923,6.1888,5.5,14,0.4286,23.9286
constipation drug induced,Lubiprostone,6,4,44.7923,6.1888,5.5,14,0.4286,23.9286
copd,Roflumilast,1,3,94.1223,7.9464,8.3704,27,0.8148,48.6296
copd,Daliresp,2,6,87.6022,7.8354,8.24,25,0.8,52.16
copd,Symbicort,3,7,80.9926,7.7117,8.087,23,0.7391,57.1304
copd,Umeclidinium / vilanterol,4,2,72.7973,8.3303,9.2222,18,0.9444,40.3889
copd,Anoro Ellipta,5,1,71.2813,8.5141,9.5882,17,1.0,42.7647
copd,Breo Ellipta,6,9,58.8675,7.0314,7.0588,17,0.6471,35.2353
copd,Fluticasone / vilanterol,7,10,58.8675,7.0314,7.0588,17,0.6471,35.2353
copd,Olodaterol / tiotropium,8,12,37.2958,6.6322,6.2,10,0.5,25.9
copd,Stiolto Respimat,9,11,35.1134,6.7576,6.4444,9,0.5556,28.7778
copd,Aclidinium,10,4,33.7281,7.8373,9.2857,7,1.0,33.0
copd,Tudorza Pressair,11,5,33.7281,7.8373,9.2857,7,1.0,33.0
copd,Prednisone,12,8,25.3549,7.5829,9.0,5,1.0,46.0
copd acute,Albuterol,1,1,33.3814,6.4242,5.6667,9,0.5556,13.5556
copd maintenance,Tiotropium,1,6,159.0283,6.9469,6.9385,65,0.6,59.9846
copd maintenance,Spiriva,2,8,146.8914,6.9001,6.8814,59,0.5763,65.2881
copd maintenance,Albuterol / ipratropium,3,5,78.8393,7.0516,7.08,25,0.68,19.44
copd maintenance,Fluticasone / salmeterol,4,4,74.391,7.0831,7.1304,23,0.6522,17.6087
copd maintenance,Advair Diskus,5,10,61.9154,6.8035,6.6842,19,0.5789,20.2105
copd maintenance,Combivent,6,1,54.198,7.9164,8.7692,13,0.9231,18.7692
copd maintenance,Albuterol,7,7,47.3517,6.9164,6.8462,13,0.6154,28.8462
copd maintenance,Symbicort,8,9,41.2064,6.8221,6.6364,11,0.5455,37.3636
copd maintenance,Daliresp,9,13,38.1228,5.9129,4.8333,12,0.3333,35.9167
copd maintenance,Roflumilast,10,14,38.1228,5.9129,4.8333,12,0.3333,35.9167
copd maintenance,Combivent Respimat,11,15,28.0437,5.8955,4.25,8,0.25,21.75
copd maintenance,Ipratropium,12,2,24.1748,7.23,7.8,5,0.8,16.2
copd maintenance,Spiriva Respimat,13,3,23.7814,7.1123,7.4,5,0.8,8.8
copd maintenance,Breo Ellipta,14,11,21.6178,6.4652,5.2,5,0.4,10.8
copd maintenance,Fluticasone / vilanterol,15,12,21.6178,6.4652,5.2,5,0.4,10.8
cough,Benzonatate,1,22,340.2416,5.0521,4.9672,274,0.438,19.0182
cough,Chlorpheniramine / hydrocodone,2,1,257.7913,9.0496,9.3333,87,0.9425,12.2299
cough,Tussionex Pennkinetic,3,2,220.4015,9.011,9.3521,71,0.9437,12.9718
cough,Homatropine / hydrocodone,4,6,203.8211,7.7657,7.8846,78,0.7692,14.9231
cough,Dextromethorphan,5,23,192.7445,4.076,3.8713,171,0.269,6.9474
cough,Tessalon Perles,6,17,141.4009,6.4782,6.377,61,0.5574,31.1148
cough,Codeine / guaifenesin,7,19,123.2699,6.2755,6.1132,53,0.5094,20.3019
cough,Codeine / promethazine,8,11,122.611,7.1769,7.2273,44,0.6818,16.0455
cough,Delsym,9,24,122.1,3.7492,3.375,104,0.2019,8.9808
cough,Guaifenesin,10,18,118.077,6.3756,6.2245,49,0.5918,18.2449
cough,Hycodan,11,4,99.48,8.1727,8.6786,28,0.8929,14.3929
cough,Hydromet,12,7,88.7523,7.7081,8.0385,26,0.7308,25.1154
cough,Acetaminophen / hydrocodone,13,3,80.6567,8.5284,9.45,20,0.95,41.75
